low_rate,low_rate_truth,high_rate,high_rate_truth,close,close_truth,open,open_truth,high,high_truth,low,low_truth,low_error,high_error
0.9920070339226855,0.9834643671550186,1.00679000704753,1.002234544976537,4898.318452768614,4917.159942891965,5016.583270439057,4989.8300013267035,4901.8691232483125,5000.9800592025185,4962.026212704835,4907.319996833987,0.008542666767666907,0.004555462070992888
0.9912390073506945,0.9876158529634557,1.0063909094585803,0.9999999999534582,4894.196521263279,4867.319975180671,5007.0108475161505,4903.849984736876,4887.544607564645,4903.85005697904,4951.159230882644,4843.11995856764,0.003623154387238814,0.006390909505122111
0.9917254975848049,0.9875379870440915,1.0067998414743133,1.0026177417458044,4890.22972268909,4807.699940273389,4952.489236930187,4866.790002129246,4833.028166683538,4879.530032603523,4936.397303408988,4806.140030738705,0.004187510540713424,0.0041820997285089145
0.9916064272864311,0.9977027839022263,1.00644317410715,1.0126847209683525,4866.925784945787,4855.939990878554,4930.602718261649,4797.1100579533295,4823.0008032383175,4857.960045283733,4924.128151749679,4786.089995575137,-0.006096356615795218,-0.006241546861202485
0.9920999714065851,0.9988471369485935,1.0080897197739407,1.0126018448809706,4894.4884495832375,4821.770055421235,4884.453278831503,4770.729959487437,4817.85828523566,4830.850030433009,4909.922720779162,4765.230053337018,-0.006747165542008382,-0.004512125107029918
0.9923040591941323,0.9978012547288471,1.008098939180156,1.006006328007688,4872.720046771879,4853.199933731429,4869.968580520468,4848.219975653817,4804.765981600768,4877.340018309365,4894.202257552895,4837.560027306093,-0.005497195534714727,0.002092611172467951
0.9922255512641365,0.9985347650761263,1.006961795513418,1.0106116009899595,4880.406957128103,4849.430029498671,4925.757525217933,4845.6400502802935,4839.542328769846,4897.060000333888,4916.597499593772,4838.540022814359,-0.006309213811989789,-0.003649805476541479
0.9924067869519159,0.9961710999713826,1.0078756507097921,1.01061621696427,4863.363616959053,4877.370019186082,4923.043970743166,4870.85002378048,4852.7057656887455,4922.560000361764,4916.269112345193,4852.199952094819,-0.0037643130194667807,-0.0027405662544779386
0.9922579355290146,0.9953892729662109,1.0078710103146793,1.0066193199524482,4859.137148077335,4883.830054264569,4939.986882150137,4869.08004072502,4860.008062965413,4901.310045331123,4917.148432456556,4846.629953293582,-0.003131337437196291,0.0012516903622310505
0.9922239583509652,0.9904787850020549,1.0070001510763817,1.0045501257471403,4848.766799409081,4833.929987600655,4933.646060788887,4846.020049668401,4840.91275805358,4868.070015123284,4911.007498180782,4799.880008065806,0.0017451733489103338,0.0024500253292414342
0.9919531652860594,0.9999999998194835,1.006693228071966,1.0066309519273513,4821.389651805772,4866.379941897281,4910.679395868106,4843.950003671169,4818.822161480627,4876.070012485407,4888.397393648095,4843.950000721573,-0.008046834533424141,6.227614461473685e-05
0.9927407807920237,0.9950973708899095,1.0070409035669152,1.0043452347730462,4829.584525469766,4929.940005243953,4903.339034185424,4915.7299867488055,4822.886207112849,4937.08995220911,4898.420821618349,4891.630001162046,-0.0023565900978858023,0.002695668793869066
0.9923433485675541,0.9978588592647857,1.0067216774950953,1.008588849986134,4849.4854436777005,4936.19002861496,4957.228383633035,4941.289966732612,4854.320504733492,4983.730035364055,4912.1146626114505,4930.709938289782,-0.0055155106972315515,-0.0018671724910386267
0.9926350322919087,0.9837643727907697,1.0073175458093646,1.000981575731565,4849.7737580294615,4883.839959214444,4976.71212252018,4920.659936527078,4881.00844410207,4925.489962782921,4931.143769769854,4840.769982855741,0.008870659501139078,0.006335970077799624
0.9908844883111086,0.9978873562127496,1.0063912517924858,1.0150077660936738,4827.228218204952,4940.109979453255,4958.835815857924,4880.140058151759,4850.461355353877,4953.380014157894,4909.190969604836,4869.829936171538,-0.007002867901640952,-0.008616514301188039
0.9927563556841977,0.9937153698587261,1.00825004344782,1.0039843870957341,4841.331929871967,4913.609955316563,4926.156002377556,4934.25997805262,4877.647092732737,4953.920060209723,4924.255055736827,4903.250061446591,-0.000959014174528372,0.004265656352085978
0.9926318480185674,0.9968243009074544,1.0067043456606646,1.0088347740317622,4827.873244602881,4932.1099923705815,4962.517846574476,4896.559968286726,4884.16449428549,4939.820012555097,4935.639588579672,4881.009938997519,-0.004192452888887033,-0.00213042837109767
0.9927652146233552,0.9842417789782211,1.0073663229312715,0.9999999999534582,4839.5114268551115,4874.780008644492,4929.350246705497,4922.509989925768,4885.203958080825,4922.5100585874125,4931.105751560761,4844.940063769529,0.008523435645134136,0.0073663229778132555
0.9910715433267515,0.9998808889877825,1.00687212026151,1.012065165951415,4826.854239421841,4922.719966038585,4950.038923751057,4869.390012037025,4886.4691047051165,4928.139981312178,4922.239560784372,4868.809935439767,-0.008809345661030976,-0.005193045689904974
0.9930957952777678,0.9942355739595587,1.0080417357747675,1.003501280176129,4849.176382471471,4910.180031795724,4905.954174442341,4926.770053538184,4892.661614769054,4944.0199808002135,4929.421558144691,4898.369954049388,-0.0011397786817909372,0.004540455598638582
0.9927055352780214,0.9957495210654745,1.0066368725332249,1.0063970829783824,4849.992068478729,4928.020051176328,4961.326565899354,4914.73995310692,4899.268911515637,4946.180030029761,4935.595609327341,4893.850026131366,-0.0030439857874531295,0.00023978955484249553
0.9927803824739555,0.9999999998194835,1.0069933339098143,1.0111492300436606,4863.6082959910955,4959.7299450964965,4963.265392939453,4934.870012306396,4897.688996735167,4989.89001578578,4934.750465863873,4934.869951663881,-0.007219617345528007,-0.004155896133846371
