open,open_truth,close,close_truth,high,high_truth,low,low_truth
954.829948084885,964.969962486166,876.7811161454025,970.1930045691136,834.0162883333503,970.2629670991836,869.5776217382552,961.64003216365
955.2343800989092,949.5840479541422,877.3727571887079,963.7740611092153,835.874979354149,963.9210134916959,870.3420536812546,948.1280035827459
952.1872937509598,949.7789604484858,877.3154626941982,949.5060734514597,836.9053870032487,952.551066281843,869.4695684921147,945.4029425036313
953.4996436836005,955.1120462617101,875.8209810374084,949.0650566187206,837.3032430733739,959.8980098017392,870.1983309243025,946.0209652830066
955.5405190049352,954.2730552439035,877.1740357577505,955.2819615979794,842.8290894704519,958.866993344575,871.5178043347003,947.7069839593174
954.8503370577515,934.9910210162045,880.0209690349403,952.7579883398416,845.6184958197949,952.89595605036,873.4215711962582,932.6480328697862
947.4103399961473,953.4100234968962,880.9162708991471,936.6099873872403,845.7939847443757,956.2970623024701,872.4071541879476,934.9720731306971
952.2073784107985,949.0770624497296,878.465121959031,952.7169775437716,847.4510080938219,952.9849942297874,874.071084631622,944.6289588924648
950.1815665843428,945.9779385740162,881.6915558748547,947.8710695081356,847.4354834881781,947.9180369112967,877.0819495316746,941.3139330592157
949.0548475986959,928.5199566353025,880.6023573792281,944.5589954005185,847.0712640636144,944.9470535567282,878.1093508388998,926.0600682411493
942.6732512479844,915.121966957766,879.8802959734204,927.9160001703503,846.8746190587937,928.2119852788148,876.9825524848105,911.5049676474334
937.1919649901928,916.0860306300225,875.956376974434,914.8799949195388,841.9100936971483,920.2079856553494,875.4496589888038,912.8380223360064
936.607683976704,928.3410205749216,872.1990643344823,917.3709484558407,837.6100823378621,928.3410525884806,875.9420176338555,913.7670713100733
940.2165321740807,930.2460201293172,871.2867248969081,928.2579578375819,837.2105520455597,930.325005868542,876.2775199782254,921.8430067453684
940.3079782389523,930.9750019875528,871.866454716355,930.118068834335,835.9988717952667,933.1959924985229,877.5140132714214,920.60994608292
939.4721825079383,923.5579805595519,869.9871952964369,930.6510584082606,835.1002710921226,935.2300202418862,876.7255529131891,923.5579789158107
936.0965902464153,931.8089718403996,866.8589158962073,923.4140098767582,834.0254204543172,931.8089755256651,877.1746305618586,915.0329658318461
938.5463101206781,923.1080537478628,861.918622719616,931.673011260331,831.905855177897,933.3509341509281,875.8005335491301,919.2219693023862
936.1294560534241,918.0909970140697,860.6548267907206,923.0379770627919,830.9488089005647,927.3199292623638,876.9062883842887,910.0829630490543
934.4738410253586,954.1549817890943,857.2976709624234,920.6709605646137,828.3260637588678,956.8410323080657,876.2593121107818,919.1209305625559
945.7282497346581,943.4049719234706,856.3547242027822,953.0120441904965,834.7725801514266,953.3420601595936,878.1380058434012,930.325037322581
941.038938131869,955.2699847231688,862.6387240506116,945.058060602695,833.8406472067534,959.3429290489672,880.2262392964365,939.9159568760695
942.8944868192376,937.7050367551626,860.128169766188,954.5020025977198,835.104837152606,954.5019917244075,881.6860028330387,936.113049742222
934.7991516521396,954.7190259862306,860.4429879360202,938.3160063487593,833.3281830184935,959.2680456570386,881.3102043885889,933.984967923552
938.4352358655096,940.7849889101209,855.5863748764101,953.9919308215979,833.4777976003347,953.9919627684055,881.8365908514859,939.3859885376097
932.6601353793205,933.2599363572301,858.2659479196373,940.3700139769319,830.8313089441239,940.3700345281122,883.6648398365976,926.2749807749094
930.0059171503367,926.9729813581826,856.5731971568468,933.0889391496482,826.5707179070114,933.3940073214886,882.3128310565056,919.1070507947506
928.3040465420366,926.5709838483812,857.0163248393836,927.4710631879869,824.7872146821736,933.1539847420751,881.6458559777739,923.573052642137
928.8215308459105,904.0390386396648,857.2979725123945,923.803009339482,824.2570950600443,923.8080199425219,882.4774480875732,903.940046459079
922.3509229345502,907.4199563791753,856.8444413558545,904.149942297757,820.5349947559474,909.8270471462129,878.4972381133737,901.6249608870746
923.5350049259486,905.1809732767047,852.8124166922274,909.5700014783743,815.8980081329821,919.2819885893045,876.4834778230788,903.7600572120549
921.8789334283413,892.1300526074411,853.0275725966098,903.5979550756517,817.7506110731362,903.6479496959685,874.7808929722906,888.3960497204365
916.6805061299444,887.7179701730313,850.4457017440203,891.6069712496999,815.3765640257715,897.2849922102569,869.7628345538081,885.8499331746401
914.5352514400544,889.4099506079258,846.6309438345734,888.1640244546238,815.8362141144394,892.2939836978076,867.203733709097,883.3830656256678
