close,close_truth,open,open_truth,high,high_truth,low,low_truth
1018.196649347793,849.5900000000001,931.919510805481,844.94,979.8338800314282,856.0999999999999,940.0786379741144,843.1799999999998
880.2510882711217,841.0,860.6210468024719,849.8699999999999,911.8998266066487,854.5999999999999,889.9001407779019,837.7800000000002
849.4607134423964,833.0,858.8600567415024,839.2199999999998,867.2699600255578,840.0,878.7393960280547,829.6799999999998
856.09246257921,835.6100000000001,870.1742300477449,831.5,862.3830970858553,840.1399999999999,871.5470926469811,829.2800000000002
863.3125496324169,842.6399999999999,874.0972713164219,835.2999999999993,863.6317734725858,844.71,866.8125419162448,832.1399999999999
867.5388978425663,843.9900000000002,874.5444493133668,842.75,866.2784869514435,843.9900000000002,864.2743080549149,835.7599999999998
877.4251500309792,859.69,882.8579183550592,847.54,877.5264969963605,867.1599999999999,871.8116041429817,842.9900000000002
874.863860272595,856.8600000000001,877.0446043947782,858.3299999999999,875.149781715721,860.9500000000003,866.6141582942446,854.2800000000002
885.3011613545318,876.48,888.0095332399073,856.19,888.5410656590657,880.0300000000002,878.5525463375661,856.19
888.9337336657859,894.0099999999998,890.1987882075682,876.94,892.9968192900078,894.0300000000002,881.1966360592137,876.04
891.3611454740048,890.8800000000001,891.2491124251892,893.8800000000001,896.2884994512629,901.0,883.2717184929534,888.5
890.6107038887458,888.1599999999999,889.2225618503912,889.4099999999999,896.2417589507977,892.29,882.57506902965,883.3800000000001
892.6810215126748,891.6100000000001,891.1698328961829,887.7199999999998,899.5062826201624,897.2800000000002,885.4795692938715,885.8499999999999
896.171429424237,903.5999999999999,894.6907766844088,892.1300000000001,903.9147735104107,903.6500000000001,889.4774862653976,888.4000000000001
900.3923396518849,909.5700000000002,898.6853249792484,905.1799999999998,908.6316472556837,919.2800000000002,893.6138104150632,903.7599999999998
898.8432914934929,904.1500000000001,895.8400707715737,907.4200000000001,906.8053731760533,909.8299999999999,891.3654626990592,901.6199999999999
908.5042558353994,923.7999999999997,906.9998303546536,904.04,917.9836641504439,923.81,902.6779427256824,903.94
909.8106663935887,927.4699999999998,907.060455876835,926.5699999999997,918.5228771865372,933.1500000000001,902.4534155255888,923.5700000000002
915.6414783933396,933.0900000000001,913.1043540881478,926.9699999999998,924.837544911401,933.3899999999999,908.8075865501496,919.1100000000001
919.4449587260815,940.3699999999999,916.584880861586,933.2599999999998,928.5169884424377,940.3699999999999,912.248030165279,926.27
928.3140492350958,953.9900000000002,926.075106833825,940.7800000000002,937.8436766861078,953.9900000000002,921.5341265801003,939.3899999999999
924.9533760489353,938.3200000000002,920.5747656547196,954.7199999999998,933.134897664379,959.27,916.2139084381615,933.9900000000002
935.1682377513907,954.5,932.5407928661261,937.71,944.7476925090164,954.5,928.5054910953286,936.1100000000001
930.8315761819172,945.06,926.2476563969567,955.27,938.9586595743008,959.3400000000001,922.0864737447137,939.9200000000001
937.7634501625248,953.0099999999998,934.5541301860894,943.4000000000001,947.0121261404938,953.3400000000001,930.7940794168285,930.3299999999999
925.4837088186423,920.6700000000001,919.3754684659266,954.1500000000001,932.857849223074,956.8400000000001,915.9599056353159,919.1199999999999
928.420478321204,923.0400000000004,924.3014216848774,918.0900000000001,937.4992592553053,927.3200000000002,921.7432752048448,910.0799999999999
927.1099245382516,931.6700000000001,923.2215619564499,923.1100000000001,936.043775738025,933.3499999999999,920.1802993302222,919.2199999999998
924.8803517124816,923.4099999999999,920.8076816566045,931.81,933.6344204430943,931.81,917.7425388278384,915.0300000000002
928.7612585579882,930.6500000000001,925.749179881243,923.56,938.1147193647835,935.23,922.4496644325359,923.56
926.5088979960201,930.1199999999999,922.8681721604871,930.98,935.2434425876008,933.2000000000003,919.3380660202829,920.6100000000001
927.4356855852689,928.2599999999998,924.1402717925835,930.25,936.3808818056264,930.3299999999999,920.6462701632927,921.8400000000001
922.7828441760435,917.3699999999999,918.7085877219315,928.3400000000001,931.1929473741002,928.3400000000001,915.3545023857491,913.77
922.1934704534588,914.8800000000001,918.7036651367971,916.0900000000001,931.0676097192218,920.21,915.5790295858428,912.8400000000001
