high,low,high_truth,low_truth
4165.66,4143.59,4144.99233724925,4074.635853520296
4180.98,4148.48,4201.896415924579,4139.2842444944445
4203.99,4148.6,4235.91312073872,4179.858116533923
4223.51,4188.08,4209.510352058325,4150.341952789455
4193.87,4150.88,4192.656419558867,4134.235586362208
4175.29,4142.18,4165.925227054671,4109.698172309537
4177.03,4141.64,4180.757698189037,4128.734477727728
4185.96,4149.49,4225.066321749473,4177.851789147472
4165.02,4113.33,4138.858429923533,4078.9913223686826
4141.18,4046.49,4161.376057702828,4100.27616773507
4103.52,3972.39,4029.920880785461,3940.0638357629555
3732.16,3639.91,3770.6691135126325,3662.0119527096376
3786.86,3652.0,3763.7480269622492,3667.9633652535513
3866.01,3781.61,3807.304069713169,3717.611942374201
3914.91,3806.96,3885.500763791423,3804.8008714306698
3899.88,3849.71,3897.51431273153,3819.688613916314
3920.17,3861.01,3921.173622930708,3845.9778399334123
3970.52,3915.71,3938.8033432898433,3865.5121548833176
3984.43,3940.67,3966.83289028252,3901.0253863172666
3999.55,3950.14,3957.2734134569237,3887.6964546754216
4001.56,3954.02,3984.400986294673,3922.2932511733725
4077.45,3999.65,4060.92719708151,4007.150756168255
4076.39,4027.79,4033.38555302246,3974.059394042163
4085.17,4042.85,4034.1347066304756,3972.641425317601
4148.53,4055.81,4156.349103821786,4097.091457012512
4184.44,4130.17,4158.967420488211,4091.7616272609803
4149.01,4097.18,4158.100240588518,4084.796862717673
4126.71,4020.91,4148.9180823281295,4071.2008564839357
4132.78,4061.12,4102.1101475933765,4014.4720473500674
4110.53,4067.44,4109.185980451514,4024.788059771481
4031.15,3928.07,3986.0955252766234,3881.446345344055
4092.54,3968.84,4094.8388663296614,4004.264710194452
4147.65,4067.91,4101.85803612299,4010.3818589264483
4115.26,4060.73,4121.209517235994,4039.907506125715
4215.85,4127.04,4246.129967452144,4168.991679269814
4181.31,4135.39,4158.943005757521,4076.7530988814506
4063.08,3995.13,4049.8025662906143,3947.332070859814
4093.0,3954.75,4112.337569671431,4022.106164385434
4091.27,4028.4,4045.563542354567,3948.8958156632043
3987.43,3926.27,3984.453079757482,3888.2252854352305
3937.18,3765.15,3923.5849366264965,3829.192253094924
3899.86,3720.51,3752.413586159489,3617.7708671460314
3786.89,3618.31,3720.2092834189043,3587.671470931458
3775.85,3636.26,3661.6326977712724,3523.5379418445095
3647.99,3503.19,3600.6918326884456,3466.468545324712
3663.95,3588.78,3647.4159152264847,3535.503498704281
3585.8,3523.79,3588.800847002003,3478.304553706518
3627.76,3545.45,3633.5247494642676,3536.0975602545277
3732.65,3685.99,3710.8917670192495,3625.8813035141307
3736.25,3681.27,3718.0271352634554,3637.5661693350867
3758.78,3709.92,3737.230561271634,3657.030319534963
3690.64,3637.59,3710.5461092679043,3634.822663531548
3716.07,3676.2,3700.0334461049574,3628.0638437431207
3731.78,3670.97,3693.062452972723,3625.0160343798666
3734.53,3652.32,3741.9560846206946,3686.456967155421
3738.83,3698.98,3720.184117967886,3663.6373399692175
3803.63,3772.21,3812.6595126980383,3760.003145516832
3793.0,3767.29,3786.8483116366597,3734.37058466713
3801.72,3785.31,3791.5075104766797,3740.9080811253284
3824.74,3758.96,3781.2179744514283,3724.894755078942
3769.88,3740.19,3769.908764379715,3713.5902526882815
3825.76,3764.98,3835.3534291945207,3783.3480151285967
3829.8,3793.44,3815.568945651927,3756.8472696230538
3807.36,3774.56,3816.98885155363,3758.6558541614772
3863.45,3821.42,3862.78638200598,3802.9047571675524
3853.8,3831.55,3866.635357771246,3808.6465405062418
3838.23,3780.0,3827.5315761697393,3762.7106077843964
3839.38,3782.21,3846.500516315249,3787.5496982234945
3857.47,3826.56,3844.0091040243897,3784.867162063475
3827.21,3787.07,3819.15921666392,3758.724096589588
3842.87,3793.77,3836.873735780184,3781.224746492097
3859.68,3768.2,3864.601493200723,3807.2590085453908
3880.74,3833.72,3896.748969676426,3841.859970074165
3921.7,3880.41,3951.7936120176046,3900.4447169430523
3937.69,3865.99,3968.4271591405673,3920.3488225527008
3941.48,3915.9,3951.547114629676,3901.1392518522453
3979.66,3935.98,3990.8607062430474,3944.407386215447
3998.1,3944.5,3982.578759576815,3931.992326413708
3970.11,3930.21,3980.2707188862446,3930.316061700682
3972.53,3932.57,3980.924367812443,3934.0785583145753
3952.2,3924.05,3936.1173965138073,3885.820909256833
3945.2,3907.4,3924.4001536234377,3873.50632281404
3946.43,3898.4,3934.5401657432203,3888.049905598856
3966.85,3944.07,3969.090665351082,3925.3032869109256
3955.71,3923.92,3948.7925585435996,3903.590148221073
3951.74,3907.58,3928.167202952832,3880.1847254688723
3907.58,3818.15,3840.1620213799524,3773.598639131391
3835.63,3800.18,3837.531366788126,3775.5235882232873
3874.75,3844.48,3875.125613008686,3824.960966242479
3873.7,3838.42,3871.0110780871455,3821.3709019046846
3885.42,3818.43,3876.900381145764,3829.4223550285815
3872.3,3830.42,3879.195235270561,3835.993363965561
3976.32,3901.73,3985.054504660815,3945.5813482111407
3991.78,3958.98,3996.6896905552558,3952.8094708572976
4018.68,3982.93,3992.067603411485,3942.6915857482945
3999.81,3968.57,4006.1812761511264,3958.325317293153
4001.25,3967.93,4012.2470964070326,3969.836949870544
4050.22,4016.1,4037.2296327855825,3994.421653042413
4052.16,4016.34,4051.926452020553,4010.2831156572292
4046.23,4024.42,4054.528252839746,4010.488291483342
4043.01,3979.75,4007.2168785245626,3953.9562640365416
4011.06,3927.25,4019.8186658022278,3970.807081665468
4007.14,3954.99,3966.08027683299,3909.535697683135
4014.57,3987.86,4030.358191696937,3980.8951707847323
4018.61,3992.13,4041.6860392168105,3993.93094833399
4047.56,4000.9,4073.7177742018366,4028.181214267413
4109.36,4043.49,4134.915450917108,4088.7665856343924
4126.94,4088.78,4125.637983814989,4075.843327994771
4124.73,4080.75,4139.786516089893,4091.7775184555076
4144.68,4123.36,4163.064199241977,4116.554261587045
4137.37,4092.54,4127.536327046174,4076.137891790099
4174.42,4129.78,4178.772924200008,4131.372480096634
4247.78,4163.5,4253.013289505992,4206.432551046345
4340.1,4238.12,4327.753960951035,4274.654154002802
4419.6,4348.45,4413.6972075411,4349.912736729309
4678.11,4465.81,4653.122809973085,4581.402586811891
4796.32,4688.06,4706.525790155465,4600.594536228093
4803.36,4670.65,4818.1001954880785,4712.45201373078
4854.12,4757.29,4904.924853024068,4796.217703953291
4821.37,4734.47,4804.2826329580885,4681.686148507025
4878.08,4741.87,4925.5744927854685,4813.660596733149
4860.44,4729.93,4863.2269736467415,4736.289702605078
4837.48,4723.36,4838.86263913887,4702.03315708672
4772.56,4513.65,4687.979603475057,4500.777586140001
4601.37,4485.82,4717.058853327344,4559.197846330053
4681.94,4534.23,4783.239354624335,4650.076127651412
4714.29,4661.44,4744.639665403543,4617.274523515852
4790.45,4675.35,4800.34441939375,4680.2950282119255
4731.4,4607.66,4782.027887853897,4659.938408022637
4691.7,4479.39,4612.065327676155,4438.649166968956
4558.12,4482.44,4620.5568232341375,4471.67363229228
4590.25,4537.69,4638.746842078599,4509.304237242178
4680.56,4548.85,4711.787882699461,4608.405955421752
4704.63,4649.77,4691.99315019238,4583.095383493417
4741.81,4621.96,4758.526555323889,4656.772215667896
4771.37,4720.02,4818.4760778926575,4721.043126694627
4807.08,4747.77,4794.5766677483525,4694.490350342488
4786.7,4711.27,4831.647759819851,4730.656017835612
4791.86,4691.16,4819.790034307971,4710.171499161338
4749.02,4637.84,4758.0295131862595,4639.031491145449
4757.66,4646.29,4772.241497648946,4659.948147787025
4791.53,4674.86,4732.967465732896,4610.1921769485225
4681.62,4566.27,4702.244464760896,4576.459528230383
4671.77,4626.1,4673.652595602008,4554.382942543119
4708.07,4617.63,4757.250461325153,4656.73620417062
4838.09,4721.36,4885.572719110778,4791.979496741939
4825.39,4788.83,4860.22343953165,4763.93358887822
4809.05,4738.01,4819.0254746132105,4705.7547723211455
4721.44,4662.8,4765.908682076137,4647.366422674942
4739.48,4684.81,4773.198894548141,4659.768474765033
4769.47,4716.61,4798.286662332766,4693.107944573419
4802.41,4746.31,4791.895616974461,4688.155787001497
4786.42,4689.88,4755.6897464017975,4639.080830741359
